DATE/TIME,ADDRESS,CITY,COUNTY,AGENCY,RANK,OFFICER NAME,YRS EXP,INJURIES,CLEARED?,BODY CAM,RACE,SEX,NOTES
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7/28/19 6:00 PM,CHRISTMAS HILL PARK,GILROY,SANTA CLARA,GILROY POLICE DEPARTMENT,,,,,,,,,
7/4/19 8:10 PM,21000 PELICAN LOOP,BODEGA BAY,SONOMA,SONOMA COUNTY SHERIFF'S OFFICE,,,4,,,,,,
6/18/19 11:55 PM,SKYLINE BLVD & REIDS ROOST RD,,SAN MATEO,SAN MATEO COUNTY SHERIFF'S OFFICE,,,,,,,,,
6/18/19 12:45 AM,2500 WEST WINTON AVE,HAYWARD,ALAMEDA,HAYWARD POLICE DEPARTMENT,,,,,,,,,
6/11/19 4:17 PM,600 MARTIN DRIVE,SAN LEANDRO,ALAMEDA,SAN LEANDRO POLICE DEPARTMENT,,,,,,,,,
6/2/19 4:41 PM,ARLENE LANE & ORCHARD LANE,WALNUT CREEK,CONTRA COSTA,WALNUT CREEK POLICE DEPARTMENT,,,,,,,,,
5/21/19 2:10 AM,HORIZON DRIVE & WESTERN ST,FAIRFIELD,SOLANO,FAIRFIELD POLICE DEPARTMENT,,,,,,,,,
5/4/19 12:55 PM,KOLLMAR DRIVE & STORY ROAD,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,,,,,,,,,
4/23/19 1:30 AM,540 PRICE AVE,REDWOOD CITY,SAN MATEO,CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION,AGENT,MARVIN ABAD,,,,,,,
4/21/19 1:10 AM,1 TOWER PLACE,SOUTH SAN FRANCISCO,SAN MATEO,SOUTH SAN FRANCISCO POLICE DEPARTMENT,,,,,,,,,
4/18/19 10:49 PM,CIVIC CENTER DRIVE & MOWRY AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,RYAN LOBUE,11,,,,,,
4/18/19 10:49 PM,CIVIC CENTER DRIVE & MOWRY AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,JAMES TAYLOR,10,,,,,,
4/18/19 10:49 PM,CIVIC CENTER DRIVE & MOWRY AVE,FREMONT,ALAMEDA,FREMONT POLICE DEPARTMENT,OFFICER,JENNIFER ALLSUP,7,,,,,,
4/11/19 2:35 AM,900 WILSON AVE,RICHMOND,CONTRA COSTA,RICHMOND POLICE DEPARTMENT,,,,,,,,,
4/8/19 7:00 AM,900 SCHWERIN ST,DALY CITY,SAN MATEO,DALY CITY POLICE DEPARTMENT,,,,,,,,,
3/13/19 4:40 PM,16160 E 14TH ST,SAN LEANDRO,ALAMEDA,ALAMEDA COUNTY SHERIFF'S OFFICE,,,,NONE,,ON,,M,
3/13/19 4:40 PM,16160 E 14TH ST,SAN LEANDRO,ALAMEDA,ALAMEDA COUNTY SHERIFF'S OFFICE,,,,NOT FATAL,,ON,,M,
