DATE/TIME,ADDRESS,CITY,COUNTY,AGENCY,RANK,OFFICER NAME,YRS EXP,INJURIES,CLEARED?,BODY CAM,RACE,SEX
9/24/17 2:50 AM,1 SALMON ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,JASON ROBINSON,15,NONE,,,,M
9/24/17 2:50 AM,1 SALMON ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,WILROLAN RAVELO,9,NONE,,,,M
5/21/17 11:00 PM,2100 QUESADA AVE,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,DACK THOMPSON,12,NONE,10/3/2017,,,M
5/3/17 11:22 AM,900 MARKET ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,KENNETH CHA,,NONE,,ON,,M
1/6/17 3:51 AM,500 CAPITOL AVE,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,KENNETH CHA,,NOT FATAL,,ON,,M
10/14/16 8:15 PM,28TH AVE & VICENTE ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,NATHAN CHEW,9,NONE,9/21/2017,NONE,,M
10/14/16 8:15 PM,28TH AVE & VICENTE ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,PAUL DOMINGUEZ,10,NONE,9/21/2017,NONE,,M
5/19/16 9:45 AM,ELMIRA ST & SHAFTER ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,SGT.,JUSTIN ERB,,NONE,10/18/2017,NONE,,M
4/7/16 10:00 AM,SHOTWELL ST & 18TH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,SGT.,NATE STEGER,17,NONE,,NONE,,M
4/7/16 10:00 AM,SHOTWELL ST & 18TH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,MICHAEL MELLONE,13,NONE,,NONE,,M
12/2/15 3:39 PM,THIRD ST & KEITH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,WINSON SETO,,,,NONE,,M
12/2/15 3:39 PM,THIRD ST & KEITH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,ANTONIO SANTOS,,,,NONE,,M
12/2/15 3:39 PM,THIRD ST & KEITH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,CHARLES AUGUST,,,,NONE,,M
12/2/15 3:39 PM,THIRD ST & KEITH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,NICHOLAS CUEAS,,,,NONE,,M
12/2/15 3:39 PM,THIRD ST & KEITH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,SCOTT PHILLIPS,,,,NONE,,M
11/11/15 4:15 PM,3555 CESAR CHAVEZ ST.,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,SGT.,JEFFREY T. ALOISE,,,,NONE,,M
11/11/15 4:15 PM,3555 CESAR CHAVEZ ST.,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,JEFFREY ARAULLO CAMILOSA,,,,NONE,,M
11/11/15 4:15 PM,3555 CESAR CHAVEZ ST.,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,ANDRES R. GARZA,,,,NONE,,M
10/24/15 8:30 AM,TREASURE ISLAND ROAD & CLIPPER COVE WAY,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,SGT.,DAMON HART,,,10/17/2017,NONE,,M
10/24/15 8:30 AM,TREASURE ISLAND ROAD & CLIPPER COVE WAY,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,DINO ZOGRAFOS,,,10/17/2017,NONE,,M
10/15/15 12:06 PM,EIGHTH ST & MARKET ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,SGT.,MICHAEL P. KONIARIS,17,,,NONE,,M
7/27/15 6:45 PM,FULTON ST & HYDE ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,GARY KUNABOOT,,,,NONE,,M
7/26/15 6:05 AM,SAN BRUNO AVE & N MCDONNELL ROAD,SAN FRANCISCO,SAN MATEO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,BARRY L. WOOD,,,,NONE,,M
6/14/15 6:08 PM,1400 OAKDALE AVE,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,JONATHAN F. RUSTEEN,,,,NONE,,M
3/17/15 7:07 PM,VAN NESS AVE & PINE ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,SGT.,THOMAS MCGUIRE,,,,NONE,,M
3/17/15 7:07 PM,VAN NESS AVE & PINE ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,MICHAEL TURSI,,,,NONE,,M
2/26/15 9:47 PM,FOLSOM ST & 25TH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,CRAIG TIFFE,,,4/12/2017,NONE,,M
2/26/15 9:47 PM,FOLSOM ST & 25TH ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,ERIC REBOLI,,,4/12/2017,NONE,,M
1/4/15 5:20 PM,630 VALENCIA ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,SGT.,MICHAEL SERUJO,,,,NONE,,M
1/4/15 5:20 PM,630 VALENCIA ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,SGT.,NICOLAS PENA,,,,NONE,,M
1/4/15 8:40 AM,400 MASON ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,SEAN PADILLA,,,,NONE,,M
12/3/14 6:00 AM,LEAVENWORTH ST & PINE ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,PHILIP CHARLES HELMER,15,,,NONE,,M
11/6/14 7:50 PM,900 CONNECTICUT ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,ED OCHOA,,,10/17/2017,NONE,,M
10/7/14 9:00 PM,JACK LONDON ALLEY & BRYANT ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,DAVID GOFF,,,,NONE,,M
9/25/14 5:54 AM,CALIFORNIA ST & BATTERY ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,OMAR A ALVARENGA,,NONE,9/12/2017,NONE,,M
9/25/14 5:54 AM,CALIFORNIA ST & BATTERY ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,CHRISTOPHER COTTER,,NONE,9/12/2017,NONE,,M
9/25/14 5:54 AM,CALIFORNIA ST & BATTERY ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,JAMES P JOHNSON,,NONE,9/12/2017,NONE,,M
